정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB124000003,고덕리엔파크1단지,37.5612,127.1704167,2025-10-31,25103,11,서울특별시,경기BIS
GGB124000004,고덕리엔파크1단지,37.5613,127.1707,2025-10-31,25104,11,서울특별시,경기BIS
GGB124000005,해뜨는주유소,37.55905,127.1708833,2025-10-31,25105,11,서울특별시,경기BIS
GGB124000006,해뜨는주유소,37.55975,127.1710167,2025-10-31,25106,11,서울특별시,경기BIS
GGB124000010,강명초등학교.고덕천물놀이장,37.55345,127.17235,2025-10-31,25110,11,서울특별시,경기BIS
GGB124000012,고덕리엔파크3단지,37.55185,127.1727333,2025-10-31,25112,11,서울특별시,경기BIS
GGB124000024,길동사거리.강동세무서,37.5341833,127.137,2025-10-31,25124,11,서울특별시,경기BIS
GGB124000025,강동역1번출구.동신중학교,37.5362833,127.1318167,2025-10-31,25125,11,서울특별시,경기BIS
GGB124000026,강동역.강풀만화거리입구,37.5361333,127.13075,2025-10-31,25126,11,서울특별시,경기BIS
GGB124000027,천호역5번출구,37.5377667,127.1271833,2025-10-31,25127,11,서울특별시,경기BIS
GGB124000028,천호역6번출구,37.5372167,127.1271333,2025-10-31,25128,11,서울특별시,경기BIS
GGB124000031,상일동역4번출구.센트럴푸르지오,37.5571833,127.1692833,2025-10-31,25131,11,서울특별시,경기BIS
GGB124000032,상일동역6번출구.고덕아르테온,37.55695,127.1691167,2025-10-31,25132,11,서울특별시,경기BIS
GGB124000033,상일동역1번출구,37.5566,127.1644,2025-10-31,25133,11,서울특별시,경기BIS
GGB124000034,상일동역8번출구,37.5564,127.1646667,2025-10-31,25134,11,서울특별시,경기BIS
GGB124000035,고덕그라시움,37.5560833,127.1608,2025-10-31,25135,11,서울특별시,경기BIS
GGB124000036,고덕그라시움,37.5557833,127.1602333,2025-10-31,25136,11,서울특별시,경기BIS
GGB124000037,고덕평생학습관.온조대왕체육관,37.5557333,127.1581667,2025-10-31,25137,11,서울특별시,경기BIS
GGB124000045,명일초등학교,37.5549167,127.1434,2025-10-31,25145,11,서울특별시,경기BIS
GGB124000046,명일초등학교,37.5546,127.14345,2025-10-31,25146,11,서울특별시,경기BIS
GGB124000047,암사3동주민센터.강동롯데캐슬퍼스트,37.5548333,127.13925,2025-10-31,25147,11,서울특별시,경기BIS
GGB124000048,암사3동주민센터.프라이어팰리스,37.5546,127.1393,2025-10-31,25148,11,서울특별시,경기BIS
GGB124000049,강일중.선사고,37.55485,127.1371167,2025-10-31,25149,11,서울특별시,경기BIS
GGB124000050,강일중.선사고,37.5546333,127.1359333,2025-10-31,25150,11,서울특별시,경기BIS
GGB124000051,신암중학교,37.5548833,127.1313333,2025-10-31,25151,11,서울특별시,경기BIS
